Time,asks,bids
2016-01-26 00:00:00 UTC,4352457.777,3291396.237
2016-01-27 00:00:00 UTC,4788200.97,3199175.187
2016-01-28 00:00:00 UTC,3751480.243,3441169.551
2016-01-29 00:00:00 UTC,2980324.604,3011548.677
2016-01-30 00:00:00 UTC,2070332.745,3001388.235
2016-01-31 00:00:00 UTC,2589090.283,2801661.442
2016-02-01 00:00:00 UTC,2855281.43,2497914.202
2016-02-02 00:00:00 UTC,3697812.066,2591980.514
2016-02-03 00:00:00 UTC,3493573.693,2729240.978
2016-02-04 00:00:00 UTC,3426329.468,3019019.285
2016-02-05 00:00:00 UTC,3856684.948,3209783.947
2016-02-06 00:00:00 UTC,3043813.312,3106766.229
2016-02-07 00:00:00 UTC,2903525.406,3237719.898
2016-02-08 00:00:00 UTC,3450703.494,2823008.172
2016-02-09 00:00:00 UTC,4033141.491,2820678.887
2016-02-10 00:00:00 UTC,3946730.201,3021203.862
2016-02-11 00:00:00 UTC,3973943.337,2939177.597
2016-02-12 00:00:00 UTC,3519479.65,2963819.747
2016-02-13 00:00:00 UTC,4414367.67,3259286.559
2016-02-14 00:00:00 UTC,5017679.266,2880705.96
2016-02-15 00:00:00 UTC,5411576.634,2743244.743
2016-02-16 00:00:00 UTC,6083965.945,2846176.47
2016-02-17 00:00:00 UTC,5759971.584,2948517.687
2016-02-18 00:00:00 UTC,4514788.103,3351622.463
2016-02-19 00:00:00 UTC,4410598.589,3580883.727
2016-02-20 00:00:00 UTC,3856452.746,3333432.743
2016-02-21 00:00:00 UTC,3095653.108,3380604.971
2016-02-22 00:00:00 UTC,3698888.861,3519884.497
2016-02-23 00:00:00 UTC,3845136.123,3909895.021
2016-02-24 00:00:00 UTC,2948889.989,4351295.589
2016-02-25 00:00:00 UTC,3408554.012,4562490.995
2016-02-26 00:00:00 UTC,3643758.166,4470394.677
2016-02-27 00:00:00 UTC,3468100.57,4773503.06
2016-02-28 00:00:00 UTC,3455716.099,4468656.547
2016-02-29 00:00:00 UTC,2975153.304,4396907.637
2016-03-01 00:00:00 UTC,3712340.354,4855608.902
2016-03-02 00:00:00 UTC,3915648.742,4978273.49
2016-03-03 00:00:00 UTC,4302360.225,4662168.693
2016-03-04 00:00:00 UTC,4023700.116,4708798.782
2016-03-05 00:00:00 UTC,3054625.235,4656331.444
2016-03-06 00:00:00 UTC,3311658.541,3495339.402
2016-03-07 00:00:00 UTC,3514747.915,3259532.542
2016-03-08 00:00:00 UTC,3893867.179,3186512.799
2016-03-09 00:00:00 UTC,3953970.548,3546801.605
2016-03-10 00:00:00 UTC,3730358.38,3430936.032
2016-03-11 00:00:00 UTC,4360118.615,3041962.217
2016-03-12 00:00:00 UTC,5443780.057,3385405.629
2016-03-13 00:00:00 UTC,5715791.499,3460315.336
2016-03-14 00:00:00 UTC,4513660.903,3709783.456
2016-03-15 00:00:00 UTC,4592331.497,3742047.836
2016-03-16 00:00:00 UTC,4561970.752,4232818.334
2016-03-17 00:00:00 UTC,4808411.638,3948212.015
2016-03-18 00:00:00 UTC,4577890.749,4162625.84
2016-03-19 00:00:00 UTC,3675113.19,4888064.861
2016-03-20 00:00:00 UTC,3562229.313,4816491.483
2016-03-21 00:00:00 UTC,3715532.935,4758881.562
2016-03-22 00:00:00 UTC,4325636.915,4668364.007
2016-03-23 00:00:00 UTC,4576246.184,4116492.137
2016-03-24 00:00:00 UTC,4674247.569,4091895.858
2016-03-25 00:00:00 UTC,4763831.451,4838073.64
2016-03-26 00:00:00 UTC,4651732.736,4839994.629
2016-03-27 00:00:00 UTC,4475502.347,4770311.722
2016-03-28 00:00:00 UTC,4449281.735,4680852.146
2016-03-29 00:00:00 UTC,4306693.987,4279271.975
2016-03-30 00:00:00 UTC,3792569.852,3966235.728
2016-03-31 00:00:00 UTC,3406063.271,4059885.915
2016-04-01 00:00:00 UTC,3318652.978,4199311.722
2016-04-02 00:00:00 UTC,3384138.532,4671841.477
2016-04-03 00:00:00 UTC,3443353.977,5519843.785
2016-04-04 00:00:00 UTC,3450639.33,5568171.701
2016-04-05 00:00:00 UTC,3442246.358,5186335.687
2016-04-06 00:00:00 UTC,3497957.803,5158260.351
