Time,bitfinex,bitstamp,btce,cex.io,coinbase,gemini,itbit,kraken,okcoin,others
2017-04-21 00:00:00 UTC,0.056733276751374,0.0955154514362969,0.147403688193338,0.102671361376672,0.0263833077073872,0.00186282243750387,0.0609465344120601,0.199481472314262,0.0557269407460957,4.431247515617504
2017-04-22 00:00:00 UTC,0.0375744591626913,0.0883639445970365,0.182470966799854,0.124223388317034,0.0229464761050161,0.000835443024533106,0.060528062646294,0.208978875391639,0.0546473322905118,3.006006864359882
2017-04-23 00:00:00 UTC,0.0704449886344062,0.090553134841724,0.188584460886884,0.0751382080241745,0.0174750839450549,0.001135925049366,0.0562244639144371,0.197288065081718,0.0582200586681533,1.9721310333380113
2017-04-24 00:00:00 UTC,0.0570369492311226,0.0604169976062575,0.115208273090475,0.129434102739006,0.0167193716165729,0.00114991674799219,0.0369342897170516,0.190686954172648,0.0593919927234762,2.399498561189359
2017-04-25 00:00:00 UTC,0.0515639064344764,0.081794971919813,0.154386235843193,0.117033545965813,0.0161716148794039,0.00146289579898121,0.0490531159779006,0.177650979960782,0.0552959319334476,2.146374169135204
2017-04-26 00:00:00 UTC,0.0383137832434192,0.086661791811704,0.158996023070137,0.128310397196675,0.0220930707676416,0.00223263823954184,0.0464204129720493,0.160856473083714,0.0502746820575497,4.865862073307517
2017-04-27 00:00:00 UTC,0.0448376864763406,0.0805128019081731,0.133987383792044,0.147805255637824,0.0262984323762784,0.00504643192354761,0.0743664114081957,0.269757085534267,0.0645848013437985,4.301459893789399
2017-04-28 00:00:00 UTC,0.0529256221662917,0.124402900821752,0.148577989449407,0.202005946283095,0.0320179602012419,0.0174976254253279,0.215982425476331,0.346775177964028,0.0569520685264417,4.348662522764407
2017-04-29 00:00:00 UTC,0.0560229575872598,0.160569830120967,0.17389711098116,0.196220278333608,0.0324745835202605,0.0534364607425558,0.0739185931030176,0.365127046802774,0.0658150457880356,4.62331320876359
2017-04-30 00:00:00 UTC,0.0441244073280167,0.184368782389743,0.194328710346009,0.164182704023053,0.030372574823295,0.0535101874878635,0.106081026007556,0.303232197347697,0.0805923820007134,4.384598634327049
2017-05-01 00:00:00 UTC,0.0511096701023669,0.165836888436465,0.159362409079702,0.186650784048664,0.0310012758905079,0.0330262477451547,0.327845048048749,0.272288198240345,0.0480299602319464,4.021042751310125
2017-05-02 00:00:00 UTC,0.0426100339907371,0.126283666047629,0.139813347053485,0.172274558487755,0.019905091165513,0.0071319682932935,0.05905881931443,0.219056596016702,0.044107155905499,3.571420281085411
2017-05-03 00:00:00 UTC,0.0402783463802838,0.150903528326422,0.17358499261892,0.137181602419227,0.012085495182877,0.0125470157047587,0.050377677096745,0.24624813868915,0.0451914440590534,1.5338838013586198
2017-05-04 00:00:00 UTC,0.0414907908336306,0.140706365421433,0.183264009549828,0.189836618944992,0.0286661848282354,0.0442891203039853,0.157578566302287,0.212173720979527,0.0411795920848042,2.0250978347995474
2017-05-05 00:00:00 UTC,0.039601119785666,0.151096699716382,0.212413607494521,0.300192402263256,0.0324368079543636,0.00893539348802951,0.255481776548614,0.250638711853457,0.0449342770824718,2.5290771954745117
2017-05-06 00:00:00 UTC,0.0220921800208724,0.145682912853363,0.183186410188075,0.227776666670825,0.0219552226040884,0.00789737607932903,0.147363339575322,0.210855477248656,0.0461592153109943,2.5011194539073958
2017-05-07 00:00:00 UTC,0.0313091524945298,0.15080617811985,0.181360307311153,0.269728215386798,0.0237884185541509,0.00674100133864145,0.310099881375655,0.270820392021986,0.0389606183813128,2.2990863254055953
2017-05-08 00:00:00 UTC,0.0300570854802648,0.160764178538486,0.158166684430707,0.179870835647499,0.0215098988863192,0.00688573327822367,0.238002009036091,0.228932957248686,0.0581431531760805,0.9897780674202759
2017-05-09 00:00:00 UTC,0.0400483697048468,0.13291389590595,0.159309964550968,0.213421629034404,0.0276846112171883,0.00457983467955089,0.247482828843218,0.168684269095771,0.0470549007073137,1.3434872084844338
2017-05-10 00:00:00 UTC,0.0384823721874277,0.108025586921647,0.178052203916944,0.213635163906522,0.0223148694880144,0.0022271119033311,0.0798609272290958,0.18276288351642,0.0450687810934229,1.5676194203145573
2017-05-11 00:00:00 UTC,0.0393360842101613,0.116447854731199,0.149676215944468,0.166603198035185,0.0203152658991242,0.00285470110271555,0.115506594471679,0.160167079803688,0.0561732547404157,0.9650373586152566
2017-05-12 00:00:00 UTC,0.037927843816481,0.130366562379126,0.141719510245227,0.230045065233478,0.0229207722383391,0.00547750198491448,0.111065983961818,0.179800474805908,0.0553463773373729,3.0121823280028206
2017-05-13 00:00:00 UTC,0.0370879142040704,0.176902295362336,0.17108501370421,0.220351001398098,0.0282288393493984,0.00545493494163871,0.108688879490871,0.199682377198564,0.0449612782746275,2.8820544400862107
2017-05-14 00:00:00 UTC,0.0340003124433822,0.185187403873993,0.13310316356785,0.208262504441142,0.014964575030372,0.00239815263658135,0.179377307830702,0.193130024559029,0.0539795518811649,1.627502424414913
2017-05-15 00:00:00 UTC,0.0418504255071862,0.209072829900048,0.163365816626556,0.27412355364696,0.0315248369508079,0.00650334607919716,0.109030699750115,0.212430113483366,0.0853374553759095,1.233474954015856
2017-05-16 00:00:00 UTC,0.0387364772819139,0.179318023510762,0.147828390392965,0.216062307668227,0.0297414251208362,0.00209621374033205,0.335018930792624,0.165586751433115,0.115252762548205,0.8743271344463133
2017-05-17 00:00:00 UTC,0.0489992240045332,0.267789040497038,0.118098253821257,0.166347625649277,0.0274483453679132,0.00227611828653648,0.197699083621766,0.19085181073601,0.0533015255992876,0.913288717571619
