Time,
2017-08-11 00:00:00 UTC,967170.9027777778
2017-08-12 00:00:00 UTC,979915.0296296297
2017-08-13 00:00:00 UTC,983320.1554054054
2017-08-14 00:00:00 UTC,955262.7615384615
2017-08-15 00:00:00 UTC,975069.9013157894
2017-08-16 00:00:00 UTC,966727.7076923077
2017-08-17 00:00:00 UTC,978740.0111111111
2017-08-18 00:00:00 UTC,959987.3624161074
2017-08-19 00:00:00 UTC,966455.1589403973
2017-08-20 00:00:00 UTC,961449.0
2017-08-21 00:00:00 UTC,976487.0
2017-08-22 00:00:00 UTC,998175.2359550562
2017-08-23 00:00:00 UTC,986510.6666666666
2017-08-24 00:00:00 UTC,938315.4257425743
2017-08-25 00:00:00 UTC,928083.3861386139
2017-08-26 00:00:00 UTC,997789.4095238096
2017-08-27 00:00:00 UTC,989423.7806451613
2017-08-28 00:00:00 UTC,980057.0930232558
2017-08-29 00:00:00 UTC,996302.0872483222
2017-08-30 00:00:00 UTC,981009.7738095238
2017-08-31 00:00:00 UTC,978514.9447852761
2017-09-01 00:00:00 UTC,968933.591954023
2017-09-02 00:00:00 UTC,805764.506097561
2017-09-03 00:00:00 UTC,761110.4545454546
2017-09-04 00:00:00 UTC,923105.9942857142
2017-09-05 00:00:00 UTC,759021.5736040609
2017-09-06 00:00:00 UTC,898332.8957055215
2017-09-07 00:00:00 UTC,803167.3352272727
2017-09-08 00:00:00 UTC,905585.0171428572
2017-09-09 00:00:00 UTC,720327.6923076923
2017-09-10 00:00:00 UTC,775694.1231884058
2017-09-11 00:00:00 UTC,817828.3275862068
2017-09-12 00:00:00 UTC,698838.0585106383
2017-09-13 00:00:00 UTC,701072.2210526316
2017-09-14 00:00:00 UTC,784510.2873563218
2017-09-15 00:00:00 UTC,827894.1722222222
2017-09-16 00:00:00 UTC,687695.3964497042
2017-09-17 00:00:00 UTC,569084.9659090909
2017-09-18 00:00:00 UTC,892531.5039370079
2017-09-19 00:00:00 UTC,930013.5
2017-09-20 00:00:00 UTC,923124.4576271187
2017-09-21 00:00:00 UTC,747889.2159090909
2017-09-22 00:00:00 UTC,780192.0791366906
2017-09-23 00:00:00 UTC,602920.9759036144
2017-09-24 00:00:00 UTC,636485.6620689655
2017-09-25 00:00:00 UTC,888326.736
2017-09-26 00:00:00 UTC,929641.8913043478
2017-09-27 00:00:00 UTC,817589.1632653062
2017-09-28 00:00:00 UTC,815688.8192090396
2017-09-29 00:00:00 UTC,794582.1420118343
2017-09-30 00:00:00 UTC,752659.4202898551
2017-10-01 00:00:00 UTC,878513.5076923077
2017-10-02 00:00:00 UTC,955191.06
2017-10-03 00:00:00 UTC,840334.4535519126
2017-10-04 00:00:00 UTC,792089.9776119404
