Time,bitfinex,bitflyer,bitstamp,btcchina,btce,coinbase,exmo,kraken,okcoin,others
2017-04-21 00:00:00 UTC,8.910416666666666,8.365972222222222,5.122222222222222,15.244444444444444,14.89375,19.427083333333332,2.95625,11.529861111111112,30.805555555555557,41.784722222222236
2017-04-22 00:00:00 UTC,12.105555555555556,9.161805555555556,3.707638888888889,12.810416666666667,19.685416666666665,16.463194444444444,3.8673611111111112,10.760416666666666,52.85625,31.067361111111115
2017-04-23 00:00:00 UTC,8.974305555555556,6.346527777777778,3.2368055555555557,15.065972222222221,14.33125,18.101388888888888,5.854861111111111,11.77361111111111,151.5923611111111,25.195833333333333
2017-04-24 00:00:00 UTC,9.208333333333334,6.695138888888889,3.88125,4.350694444444445,10.35763888888889,18.990277777777777,3.970138888888889,11.356944444444444,46.33958333333333,34.360416666666666
2017-04-25 00:00:00 UTC,8.779166666666667,7.231944444444444,5.11875,16.813194444444445,14.825694444444444,21.10972222222222,3.5493055555555557,12.4875,54.604166666666664,39.35972222222222
2017-04-26 00:00:00 UTC,14.622222222222222,8.261111111111111,5.975694444444445,14.364583333333334,16.54652777777778,22.352083333333333,7.204861111111111,17.02986111111111,47.08888888888889,44.568749999999994
2017-04-27 00:00:00 UTC,14.526388888888889,9.677777777777777,5.801388888888889,16.275694444444444,18.559722222222224,28.309722222222224,5.092361111111111,19.483333333333334,27.01875,52.23472222222221
2017-04-28 00:00:00 UTC,13.41388888888889,14.721527777777778,8.63125,15.42361111111111,15.998611111111112,34.239583333333336,8.38263888888889,21.227083333333333,25.103472222222223,55.46944444444445
2017-04-29 00:00:00 UTC,11.209027777777777,5.948611111111111,4.920138888888889,13.083333333333334,12.144444444444444,27.051388888888887,6.341666666666667,14.509722222222223,18.541666666666668,35.19166666666668
2017-04-30 00:00:00 UTC,11.46875,6.229861111111111,3.7472222222222222,10.01736111111111,9.977083333333333,26.561805555555555,6.607638888888889,15.59375,30.574305555555554,31.574305555555554
2017-05-01 00:00:00 UTC,23.433333333333334,20.31736111111111,8.204166666666667,14.888194444444444,21.679861111111112,39.604166666666664,11.040277777777778,32.58611111111111,33.920138888888886,47.7
2017-05-02 00:00:00 UTC,17.2625,17.366666666666667,7.327083333333333,14.893055555555556,20.76527777777778,30.604166666666668,8.488194444444444,28.832638888888887,30.386805555555554,54.138888888888886
2017-05-03 00:00:00 UTC,22.368055555555557,11.846527777777778,10.17986111111111,17.438194444444445,30.740277777777777,32.766666666666666,8.938194444444445,25.409027777777776,44.834722222222226,55.22986111111111
2017-05-04 00:00:00 UTC,34.047916666666666,20.46736111111111,17.272916666666667,17.60625,52.46319444444445,56.50416666666667,14.993055555555555,43.60138888888889,49.92986111111111,81.98472222222223
2017-05-05 00:00:00 UTC,32.44861111111111,15.865277777777777,16.209027777777777,19.758333333333333,33.324305555555554,40.328472222222224,14.015277777777778,40.47569444444444,60.421527777777776,82.48333333333333
2017-05-06 00:00:00 UTC,15.229166666666666,6.9625,7.58125,11.985416666666667,15.294444444444444,26.122222222222224,8.113194444444444,19.745833333333334,32.60347222222222,46.96180555555556
2017-05-07 00:00:00 UTC,18.740277777777777,8.572222222222223,9.445833333333333,16.17013888888889,19.71736111111111,29.445138888888888,11.792361111111111,29.17152777777778,28.44097222222222,41.734027777777776
2017-05-08 00:00:00 UTC,20.886805555555554,20.685416666666665,21.381944444444443,15.426388888888889,31.497916666666665,36.834722222222226,11.002777777777778,41.1125,36.54097222222222,58.63541666666666
2017-05-09 00:00:00 UTC,38.50972222222222,27.341666666666665,17.161805555555556,21.51875,42.93888888888889,52.67777777777778,14.657638888888888,49.66041666666667,72.03958333333334,66.89375000000001
2017-05-10 00:00:00 UTC,22.5625,19.663194444444443,12.424305555555556,17.213194444444444,33.91875,39.571527777777774,11.334027777777777,35.03263888888889,90.6138888888889,54.25555555555557
2017-05-11 00:00:00 UTC,21.793055555555554,20.102777777777778,12.42361111111111,15.83611111111111,30.138194444444444,37.388194444444444,12.251388888888888,36.424305555555556,64.50763888888889,55.772916666666674
2017-05-12 00:00:00 UTC,21.645833333333332,25.20347222222222,13.71111111111111,17.12361111111111,26.073611111111113,46.78541666666667,10.093055555555555,37.949305555555554,51.863194444444446,62.48888888888891
2017-05-13 00:00:00 UTC,16.086805555555557,27.0125,8.525,17.9625,18.586111111111112,37.72152777777778,8.18125,23.690277777777776,40.37847222222222,46.55833333333333
2017-05-14 00:00:00 UTC,12.793055555555556,13.849305555555556,4.750694444444444,14.932638888888889,13.01736111111111,24.509722222222223,6.559722222222222,17.01875,20.386805555555554,32.74513888888889
2017-05-15 00:00:00 UTC,17.805555555555557,20.90277777777778,12.096527777777778,20.446527777777778,20.96527777777778,33.37430555555556,11.324305555555556,27.645138888888887,54.139583333333334,54.75902777777777
2017-05-16 00:00:00 UTC,13.99375,15.90625,15.41875,17.983333333333334,23.95,32.53333333333333,9.650694444444444,30.283333333333335,51.645833333333336,43.79027777777778
2017-05-17 00:00:00 UTC,19.551388888888887,24.527083333333334,18.56736111111111,19.07847222222222,25.88125,38.42777777777778,9.402777777777779,36.25138888888889,61.89652777777778,44.276388888888896
2017-05-18 00:00:00 UTC,16.02638888888889,19.347916666666666,11.854861111111111,15.413194444444445,25.37638888888889,35.64652777777778,8.582638888888889,32.824305555555554,43.19027777777778,37.86875
2017-05-19 00:00:00 UTC,23.240972222222222,24.56875,12.890277777777778,18.956944444444446,29.772222222222222,39.78611111111111,12.353472222222223,41.2125,33.17638888888889,44.023611111111116
