Time,
2017-08-26 00:00:00 UTC,226485.0
2017-08-27 00:00:00 UTC,261891.0
2017-08-28 00:00:00 UTC,223771.0
2017-08-29 00:00:00 UTC,281116.0
2017-08-30 00:00:00 UTC,271466.0
2017-08-31 00:00:00 UTC,280724.0
2017-09-01 00:00:00 UTC,283670.0
2017-09-02 00:00:00 UTC,236811.0
2017-09-03 00:00:00 UTC,195289.0
2017-09-04 00:00:00 UTC,269280.0
2017-09-05 00:00:00 UTC,277948.0
2017-09-06 00:00:00 UTC,278019.0
2017-09-07 00:00:00 UTC,256374.0
2017-09-08 00:00:00 UTC,279488.0
2017-09-09 00:00:00 UTC,217890.0
2017-09-10 00:00:00 UTC,193240.0
2017-09-11 00:00:00 UTC,253492.0
2017-09-12 00:00:00 UTC,256230.0
2017-09-13 00:00:00 UTC,263320.0
2017-09-14 00:00:00 UTC,268068.0
2017-09-15 00:00:00 UTC,292079.0
2017-09-16 00:00:00 UTC,228257.0
2017-09-17 00:00:00 UTC,197683.0
2017-09-18 00:00:00 UTC,218204.0
2017-09-19 00:00:00 UTC,282917.0
2017-09-20 00:00:00 UTC,237837.0
2017-09-21 00:00:00 UTC,255257.0
2017-09-22 00:00:00 UTC,227615.0
2017-09-23 00:00:00 UTC,203861.0
2017-09-24 00:00:00 UTC,185277.0
2017-09-25 00:00:00 UTC,226603.0
2017-09-26 00:00:00 UTC,263648.0
2017-09-27 00:00:00 UTC,257961.0
2017-09-28 00:00:00 UTC,275976.0
2017-09-29 00:00:00 UTC,254438.0
2017-09-30 00:00:00 UTC,212678.0
2017-10-01 00:00:00 UTC,203653.0
2017-10-02 00:00:00 UTC,295002.0
2017-10-03 00:00:00 UTC,282132.0
2017-10-04 00:00:00 UTC,232826.0
2017-10-05 00:00:00 UTC,273243.0
2017-10-06 00:00:00 UTC,285949.0
2017-10-07 00:00:00 UTC,231226.0
2017-10-08 00:00:00 UTC,238385.0
2017-10-09 00:00:00 UTC,296946.0
2017-10-10 00:00:00 UTC,303101.0
2017-10-11 00:00:00 UTC,292459.0
2017-10-12 00:00:00 UTC,293164.0
2017-10-13 00:00:00 UTC,312443.0
2017-10-14 00:00:00 UTC,293140.0
2017-10-15 00:00:00 UTC,283473.0
2017-10-16 00:00:00 UTC,314725.0
2017-10-17 00:00:00 UTC,334438.0
2017-10-18 00:00:00 UTC,329579.0
2017-10-19 00:00:00 UTC,356985.0
2017-10-20 00:00:00 UTC,312409.0
