Time,bitfinex
2017-08-21 00:00:00 UTC,0.023052628
2017-08-22 00:00:00 UTC,0.030924606
2017-08-23 00:00:00 UTC,0.026602135
2017-08-24 00:00:00 UTC,0.024964404
2017-08-25 00:00:00 UTC,0.023880302
2017-08-26 00:00:00 UTC,0.023987948
2017-08-27 00:00:00 UTC,0.021443745
2017-08-28 00:00:00 UTC,0.01845852
2017-08-29 00:00:00 UTC,0.015679739
2017-08-30 00:00:00 UTC,0.018670967
2017-08-31 00:00:00 UTC,0.015253353
2017-09-01 00:00:00 UTC,0.014321389
2017-09-02 00:00:00 UTC,0.036350964
2017-09-03 00:00:00 UTC,0.020015987
2017-09-04 00:00:00 UTC,0.032991188
2017-09-05 00:00:00 UTC,0.038844062
2017-09-06 00:00:00 UTC,0.025624804
2017-09-07 00:00:00 UTC,0.026980892
2017-09-08 00:00:00 UTC,0.031367894
2017-09-09 00:00:00 UTC,0.028177309
2017-09-10 00:00:00 UTC,0.02191454
2017-09-11 00:00:00 UTC,0.020046967
2017-09-12 00:00:00 UTC,0.022074039
2017-09-13 00:00:00 UTC,0.030266028
2017-09-14 00:00:00 UTC,0.037700974
2017-09-15 00:00:00 UTC,0.051377908
2017-09-16 00:00:00 UTC,0.032564124
2017-09-17 00:00:00 UTC,0.028045453
2017-09-18 00:00:00 UTC,0.025498131
2017-09-19 00:00:00 UTC,0.027923097
2017-09-20 00:00:00 UTC,0.020500485
2017-09-21 00:00:00 UTC,0.027340326
2017-09-22 00:00:00 UTC,0.0264789
2017-09-23 00:00:00 UTC,0.024908571
2017-09-24 00:00:00 UTC,0.027604336
2017-09-25 00:00:00 UTC,0.023334197
2017-09-26 00:00:00 UTC,0.028838614
2017-09-27 00:00:00 UTC,0.027771205
2017-09-28 00:00:00 UTC,0.019804598
2017-09-29 00:00:00 UTC,0.01437707
2017-09-30 00:00:00 UTC,0.016950729
2017-10-01 00:00:00 UTC,0.015453993
2017-10-02 00:00:00 UTC,0.013644972
2017-10-03 00:00:00 UTC,0.014371484
2017-10-04 00:00:00 UTC,0.01446442
2017-10-05 00:00:00 UTC,0.015752738
2017-10-06 00:00:00 UTC,0.014739719
2017-10-07 00:00:00 UTC,0.012793366
2017-10-08 00:00:00 UTC,0.013135953
2017-10-09 00:00:00 UTC,0.016401271
2017-10-10 00:00:00 UTC,0.020742559
2017-10-11 00:00:00 UTC,0.018001129
2017-10-12 00:00:00 UTC,0.016339298
2017-10-13 00:00:00 UTC,0.025143929
2017-10-14 00:00:00 UTC,0.018372944
2017-10-15 00:00:00 UTC,0.020869057
2017-10-16 00:00:00 UTC,0.016259711
2017-10-17 00:00:00 UTC,0.017603618
2017-10-18 00:00:00 UTC,0.017856277
2017-10-19 00:00:00 UTC,0.018416121
2017-10-20 00:00:00 UTC,0.013878898
2017-10-21 00:00:00 UTC,0.014351806
